id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1608211866723180544,1608211866723180544,2022-12-29 04:22:42 SE Asia Standard Time,2022-12-29,04:22:42,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] gais help kenapa mendeley sama wordku gamau terhubung yah, kalau tutor diyutub harus instal ms pluging tapi punyaku gaada😭😭  https://t.co/jDndA36iZ7",in,[],[],['https://pbs.twimg.com/media/FlGEKwyakAEl3Mx.jpg'],17,28,308,[],[],https://twitter.com/collegemenfess/status/1608211866723180544,False,,1,https://pbs.twimg.com/media/FlGEKwyakAEl3Mx.jpg,,,,,,,[],,,,
1608198845347004417,1608198845347004417,2022-12-29 03:30:58 SE Asia Standard Time,2022-12-29,03:30:58,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] mau nanya dong buat semua uji asumsi klasik lolos kecuali heteros, nah buat uji goodnes of fit nya ga fit, itu gmn ngatasinnya plis 😭 btw aku data sekunder",in,[],[],[],0,0,4,[],[],https://twitter.com/collegemenfess/status/1608198845347004417,False,,0,,,,,,,,[],,,,
1608198033363333120,1608198033363333120,2022-12-29 03:27:44 SE Asia Standard Time,2022-12-29,03:27:44,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] buat durasi di silabus sama kurikulum LKP kenapa beda ya? di silabus dihitungnya menit, tapi di kurikulum dihitungnya jam?",in,[],[],[],0,0,2,[],[],https://twitter.com/collegemenfess/status/1608198033363333120,False,,0,,,,,,,,[],,,,
1608197860314714112,1608197860314714112,2022-12-29 03:27:03 SE Asia Standard Time,2022-12-29,03:27:03,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] klo kita libur senester gini TU kampus ttp buka gasi?,in,[],[],[],5,0,4,[],[],https://twitter.com/collegemenfess/status/1608197860314714112,False,,0,,,,,,,,[],,,,
1608189987245395969,1608189987245395969,2022-12-29 02:55:46 SE Asia Standard Time,2022-12-29,02:55:46,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] kaka kaka disini ada yg batch lalu msib nya ke pt assa gaa? bole Rep yaa aku mau nanya nanya makasii,in,[],[],[],0,0,3,[],[],https://twitter.com/collegemenfess/status/1608189987245395969,False,,0,,,,,,,,[],,,,
1608189046890860544,1608189046890860544,2022-12-29 02:52:02 SE Asia Standard Time,2022-12-29,02:52:02,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[Cm] guys uji validitas reliabilitas pake amos tuh cuma validitasnya aja ya? Reliabilitasnya kalo aku lihat di youtube cari manual pake excel bener ngga?,in,[],[],[],0,0,1,[],[],https://twitter.com/collegemenfess/status/1608189046890860544,False,,0,,,,,,,,[],,,,
1608177254789677056,1608177254789677056,2022-12-29 02:05:10 SE Asia Standard Time,2022-12-29,02:05:10,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] malem guys! disini ada anak hukum u n s yang bisa aku mintain tolong engga ya? kalau bisa tolong rep, urgent soalnya. makasih.",in,[],[],[],1,0,1,[],[],https://twitter.com/collegemenfess/status/1608177254789677056,False,,0,,,,,,,,[],,,,
1608171708724436993,1608171708724436993,2022-12-29 01:43:08 SE Asia Standard Time,2022-12-29,01:43:08,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] guyss help sender kurang 100 responden🥺🥺 pengguna spotify berkenan tolong isi yaa makasih. barter jg boleh banget dm langsung aja🥺🥺  https://t.co/MBPw7OIyUs,in,[],['https://twitter.com/rakitamiya/status/1606491945819574273?t=Bi-Lt-4fTqV4wGk1z80OCA&s=19'],[],31,2,41,[],[],https://twitter.com/collegemenfess/status/1608171708724436993,False,https://twitter.com/rakitamiya/status/1606491945819574273?t=Bi-Lt-4fTqV4wGk1z80OCA&s=19,0,,,,,,,,[],,,,
1608168810384863232,1608168810384863232,2022-12-29 01:31:37 SE Asia Standard Time,2022-12-29,01:31:37,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] PLEASE HELP! anak tek. pangan smt 6,7,8 dan kuliah di jabodetabek, adakah yg berkenan utk aku tanya2? bukan utk kuisioner, riset atau apa kok, aku butuh info ttg sesuatu aja. tolong bgt kak 😭 tia 🙏",in,[],[],[],0,0,1,[],[],https://twitter.com/collegemenfess/status/1608168810384863232,False,,0,,,,,,,,[],,,,
1608168799563567104,1608168799563567104,2022-12-29 01:31:34 SE Asia Standard Time,2022-12-29,01:31:34,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] Guys biar bisa abis : terus - kebawahnya ngikut tuh gimana ya?   Semoga paham sama pertanyaan aku🙏🏻  https://t.co/sczZda7DSY,in,[],[],['https://pbs.twimg.com/media/FlFdADfaMAACfOF.jpg'],2,0,9,[],[],https://twitter.com/collegemenfess/status/1608168799563567104,False,,1,https://pbs.twimg.com/media/FlFdADfaMAACfOF.jpg,,,,,,,[],,,,
1608166831940063232,1608166830408884224,2022-12-29 01:23:45 SE Asia Standard Time,2022-12-29,01:23:45,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"mikir sendiri semuanya tanpa referensi&amp; bla bla.  pas aku diliatin laporan dia, aku baca baca, eh ada typo di salah satu bagian, yang menjelaskan tempat juga, eh nama tempatnya yang bukan dia bikin laporan kaya yang dia ngomong.",in,[],[],[],1,0,1,[],[],https://twitter.com/collegemenfess/status/1608166831940063232,False,,0,,,,,,,,[],,,,
1608166830408884224,1608166830408884224,2022-12-29 01:23:45 SE Asia Standard Time,2022-12-29,01:23:45,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] numpang curhat, kan aku ada tugas bikin laporan uas, terus pas mau ngumpulin harus direvisi dulu gitu. terus temenku liat laporanku, lalu tanya gini, kamu dapet acuan darimana, gitu kan. terus aku bilang, di web ini ada acuannya. terus dia lanjut bilang, kaya aku dong (cont)",in,[],[],[],1,0,0,[],[],https://twitter.com/collegemenfess/status/1608166830408884224,False,,0,,,,,,,,[],,,,
1608165680851079170,1608165680851079170,2022-12-29 01:19:11 SE Asia Standard Time,2022-12-29,01:19:11,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[Cm] Dik, bobok dik, besok hari Senin. Ngerjainnya besok lagi. Kasihan itu, leptopmu, kesehatanmu, tapi kalo mau sampe subuh gapapa, nanggung soalnya. Heheh. Selamat malam warga colle, pagi!  https://t.co/ptcS5zNh0l",in,[],[],['https://pbs.twimg.com/media/FlFaKgQaEAA9XQ2.jpg'],14,0,79,[],[],https://twitter.com/collegemenfess/status/1608165680851079170,False,,1,https://pbs.twimg.com/media/FlFaKgQaEAA9XQ2.jpg,,,,,,,[],,,,
1608164466696540160,1608164466696540160,2022-12-29 01:14:21 SE Asia Standard Time,2022-12-29,01:14:21,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] besok akau ada UAS, disini ada yg bisa koding ga? Buat kode python  https://t.co/y9EsfuZUWT",in,[],[],['https://pbs.twimg.com/media/FlFZD1zaEAAaJFx.jpg'],14,4,138,[],[],https://twitter.com/collegemenfess/status/1608164466696540160,False,,1,https://pbs.twimg.com/media/FlFZD1zaEAAaJFx.jpg,,,,,,,[],,,,
1608161734082326529,1608161734082326529,2022-12-29 01:03:30 SE Asia Standard Time,2022-12-29,01:03:30,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] hi guys, menurut kalian implementasi itu apa ya? aku disuruh nambahin poin implementasi dari peserta pelatihan tapi bingung 🥲🥲🥲",in,[],[],[],3,0,1,[],[],https://twitter.com/collegemenfess/status/1608161734082326529,False,,0,,,,,,,,[],,,,
1608161559561531394,1608161559561531394,2022-12-29 01:02:48 SE Asia Standard Time,2022-12-29,01:02:48,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] adakah yang bisa gambarkan diagram aoa/cpm dari kegiatan ini? Pliss gambar nya aja 😭 gk perlu pakai angka, aku butuh gambarnya aja, makasi yg udh mau bantu 🙏  https://t.co/H1qBLhs3Gm",in,[],[],['https://pbs.twimg.com/media/FlFWalzaMAAWPhg.jpg'],4,0,2,[],[],https://twitter.com/collegemenfess/status/1608161559561531394,False,,1,https://pbs.twimg.com/media/FlFWalzaMAAWPhg.jpg,,,,,,,[],,,,
1608160787880869889,1608160787880869889,2022-12-29 00:59:44 SE Asia Standard Time,2022-12-29,00:59:44,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] share dong tamplate notion yang kalian pake beberapa bulan ini ❤️  https://t.co/mXXjOyyNaP,in,[],[],['https://pbs.twimg.com/media/FlFVtsQakAARb6P.jpg'],0,1,9,[],[],https://twitter.com/collegemenfess/status/1608160787880869889,False,,1,https://pbs.twimg.com/media/FlFVtsQakAARb6P.jpg,,,,,,,[],,,,
1608158980010016768,1608158980010016768,2022-12-29 00:52:33 SE Asia Standard Time,2022-12-29,00:52:33,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] ada yang bisa diajak diskusi soal skripsi ga? aku buntu bgt... disuruh nambahin satu poin aku bingung kalau ada rep ya guys, nanti aku ketuk dmnya. makasii",in,[],[],[],2,0,0,[],[],https://twitter.com/collegemenfess/status/1608158980010016768,False,,0,,,,,,,,[],,,,
1608157921824878592,1608157921824878592,2022-12-29 00:48:21 SE Asia Standard Time,2022-12-29,00:48:21,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] kalian yang anak kos buat makan dan jajan aja 2 minggu 1jt cukup ga? posisinya ga ke kampus,in,[],[],[],67,0,20,[],[],https://twitter.com/collegemenfess/status/1608157921824878592,False,,0,,,,,,,,[],,,,
1608157457842606080,1608157457842606080,2022-12-29 00:46:30 SE Asia Standard Time,2022-12-29,00:46:30,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] permisi temen-temen ada yang tau buku nya Devito yang membahas tentang dimensi self disclosure gak ya? ada yang tau juga gak dimensinya ada di buku apa? terima kasih🥺🙏🏻,in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1608157457842606080,False,,0,,,,,,,,[],,,,
1608155601456214018,1608155601456214018,2022-12-29 00:39:08 SE Asia Standard Time,2022-12-29,00:39:08,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] haii mau tanya dong, klo blm ada progres terbaru dr skripsi tapi disuruh bimbingan blg apa ya.. :"") klo gadateng takut sombong tp klo dateng gatau mau blg apaa makasih sblmnya",in,[],[],[],1,0,3,[],[],https://twitter.com/collegemenfess/status/1608155601456214018,False,,0,,,,,,,,[],,,,
